timestamp,cpu_percent,mem_used_mb
1762583109.1139636,15.00,2082.14
1762583110.1160514,3.20,2082.14
1762583111.118775,9.90,2074.97
1762583112.1204975,14.70,2075.21
1762583113.1220615,12.10,2075.16
1762583114.1240578,14.10,2075.70
1762583115.1264758,20.10,2082.11
1762583116.1283238,11.60,2082.68
1762583117.1298478,13.00,2082.89
1762583118.1320975,17.70,2083.12
1762583119.1331716,15.50,2076.79
1762583120.1351774,5.20,2076.65
1762583121.1375866,4.10,2076.81
1762583122.1401844,6.90,2077.28
1762583123.1424735,11.60,2077.24
1762583124.1456363,12.30,2077.67
1762583125.1475744,6.80,2077.63
1762583126.1490376,42.60,2102.59
1762583127.150033,26.80,2112.33
1762583128.1510465,35.90,2113.04
1762583129.1525314,14.90,2112.97
1762583130.155154,11.40,2112.97
1762583131.1656568,9.50,2113.19
1762583132.1680558,8.20,2113.19
1762583133.1704996,7.80,2113.20
1762583134.1731734,20.60,2113.24
1762583135.175635,7.70,2113.34
1762583136.178449,6.60,2112.37
1762583137.1818202,6.70,2112.36
1762583138.1835086,15.50,2112.43
