timestamp,cpu_percent,mem_used_mb
1761996065.9276028,50.30,761.09
1761996066.9292262,52.50,761.20
1761996067.930576,50.50,761.13
1761996068.9322736,50.80,761.22
1761996069.9334016,39.50,773.10
1761996070.9372714,40.50,774.08
1761996071.938528,34.60,773.11
1761996072.9397206,38.50,774.13
1761996073.9405448,36.70,774.54
1761996074.941535,38.90,773.66
1761996075.9435544,36.40,773.57
1761996076.9452066,46.60,761.42
1761996077.9466288,50.30,760.80
1761996078.948086,50.70,761.12
1761996079.9495547,50.50,760.96
1761996080.9510357,50.80,761.01
1761996081.9528317,50.50,761.29
1761996082.9546435,50.50,760.99
1761996083.9561737,51.00,761.68
1761996084.9582849,51.00,760.94
1761996085.9598918,50.50,761.32
1761996086.9621553,51.20,761.88
1761996087.9634562,31.10,772.99
1761996088.9645967,38.40,772.40
1761996089.965518,28.10,774.12
1761996090.9677477,35.00,773.37
1761996091.9686055,40.80,773.57
1761996092.9695551,45.90,773.36
1761996093.9705706,44.40,773.29
1761996094.9725146,45.90,773.05
