env,nic_mode,qos,direction,pod_config,is_fair,network_type,throughput_mbps_mean,throughput_mbps_std,throughput_mbps_count,throughput_mbps_sem,latency_ms_mean,latency_ms_std,latency_ms_count,latency_ms_sem,packet_loss_pct_mean,packet_loss_pct_std,packet_loss_pct_count,packet_loss_pct_sem,jitter_ms_mean,jitter_ms_std,jitter_ms_count,jitter_ms_sem,cpu_mean_mean,cpu_mean_std,cpu_mean_count,cpu_mean_sem,ram_mean_mean,ram_mean_std,ram_mean_count,ram_mean_sem,throughput_mbps_cv,latency_ms_cv,jitter_ms_cv,cpu_mean_cv,cpu_per_mbps,throughput_norm,qos_effect_pct
DOCKER,BRIDGED,NOQOS,none,NONE,False,internal,41958.231787616656,3930.5898697497123,10,1242.9616536393655,0.08940000000000001,0.008909420731886991,10,0.0028174062145487244,0.0,0.0,10,0.0,0.0731,0.02554059948830924,10,0.008076646718918825,99.72133333333333,0.06359982917905473,10,0.02011203190034498,1316.8052666666667,39.76652454626748,10,12.575279219519917,9.367863473478803,9.965795002110728,34.939260585922355,0.0637775559683532,0.0023766810250274795,100.0,100.0
DOCKER,BRIDGED,QOS1 C-_S,sc,NONE,False,internal,37.811718647737955,1.8561893638840243,10,0.5869786158452606,0.0945,0.01503514401512522,10,0.0047545300036444796,0.0,0.0,10,0.0,0.08990000000000001,0.0823211192019804,10,0.02603222362124808,6.278333333333333,9.088027838865811,10,2.873886740983367,2285.4494666666665,22.463417993608108,10,7.103556489221132,4.909031988671768,15.910205307010816,91.56965428473904,144.7522352885449,0.16604199856197036,0.12082266010828425,0.09011752172763753
DOCKER,BRIDGED,QOS1 S-_C,sc,NONE,False,internal,37.69134192724281,1.917935733100745,10,0.6065045322423149,0.9789,0.12269062266077586,10,0.03879818151523198,0.0,0.0,10,0.0,8.735299999999999,1.1850593093455983,10,0.3747486579918154,2.5496666666666665,1.4272986225820758,10,0.4513514548580398,2419.0468,16.243745606794867,10,5.136723384982567,5.088531304624328,12.533519528120937,13.56632639228874,55.979812625784135,0.06764595093452486,0.12043801121885311,0.089830625175122
DOCKER,BRIDGED,QOS2 C-_S,sc,NONE,False,internal,31515.500713948033,7662.033694974558,10,2422.9477985075428,0.0872,0.03129004101414165,10,0.009894779768477248,0.0,0.0,10,0.0,0.10410000000000001,0.1879683483994047,10,0.05944081089621843,99.475,0.42817802343544115,10,0.13540177980849483,2323.0636666666664,16.01889762240326,10,5.0656202091850195,24.31195291650092,35.88307455750189,180.56517617618127,0.43043782200094616,0.0031563832954103963,100.70387612840047,75.1116035429533
DOCKER,BRIDGED,QOS2 S-_C,sc,NONE,False,internal,31689.045187977732,13761.618953867006,10,4351.806018556337,0.10729999999999999,0.04240820151286253,10,0.013410650825204404,0.0,0.0,10,0.0,0.1345,0.15918909091601305,10,0.05034001059462211,99.31833333333334,0.97892514751867,10,0.30956331249753255,2486.3582666666666,13.962664556807534,10,4.415382220441729,43.42705459326343,39.523020981232555,118.35620142454502,0.9856439538037656,0.0031341535456238037,101.25841598401254,75.52521600142902
DOCKER,HOST,NOQOS,none,NONE,False,internal,39061.28579147937,6476.619962557787,10,2048.0870620997057,0.0576,0.0061318838867023585,10,0.0019390719429665322,0.0,0.0,10,0.0,0.0348,0.025174060723954197,10,0.007960736984308258,99.51233333333333,0.8247679059986607,10,0.26081451239634185,2597.581333333333,25.99954895240297,10,8.22177928266381,16.58066249311886,10.64563174774715,72.33925495389137,0.828809734805395,0.0025475949221067484,100.0,100.0
DOCKER,HOST,QOS1 C-_S,sc,NONE,False,internal,38056.591960691476,6028.537482766364,10,1906.3909405239788,0.0656,0.01938613479325423,10,0.00613043409737208,0.0,0.0,10,0.0,0.0836,0.11923385052539026,10,0.037705054185229736,99.483,0.22728917785581357,10,0.07187514895314767,2519.1310333333336,35.85027283001364,10,11.336851688129356,15.84098095014188,29.55203474581437,142.62422311649553,0.2284703696669919,0.0026140806329362247,121.60512242733947,97.4279038428196
DOCKER,HOST,QOS1 S-_C,sc,NONE,False,internal,38.316786042244075,0.5314083498566585,10,0.16804607531786536,0.9797,0.13057398924237043,10,0.04129112091802143,0.0,0.0,10,0.0,8.677299999999999,1.3130151941238153,10,0.4152118615839389,6.8420000000000005,3.3473314228383457,10,1.0585191379621337,2035.3942666666667,43.08679261613371,10,13.62524017383075,1.386881324730063,13.327956439968403,15.131609995318998,48.923288845927296,0.17856403698516696,0.12243654036341621,0.09809402139701787
DOCKER,HOST,QOS2 C-_S,sc,NONE,False,internal,37671.19838891618,11811.839560949538,10,3735.23163690838,0.10700000000000001,0.10923064283127391,10,0.034541762163116885,0.0,0.0,10,0.0,0.42479999999999996,0.879189626872383,10,0.278024171611031,98.77933333333333,2.029695470681182,10,0.6418460643880045,2558.650833333333,29.09901483218477,10,9.201916453672624,31.355093721746,102.0847129264242,206.96554304905442,2.054777454138027,0.0026221447035886364,120.37364503895817,96.44126563067103
DOCKER,HOST,QOS2 S-_C,sc,NONE,False,internal,37671.19838891618,11811.839560949538,10,3735.23163690838,0.10700000000000001,0.10923064283127391,10,0.034541762163116885,0.0,0.0,10,0.0,0.42479999999999996,0.879189626872383,10,0.278024171611031,98.77933333333333,2.029695470681182,10,0.6418460643880045,2558.650833333333,29.09901483218477,10,9.201916453672624,31.355093721746,102.0847129264242,206.96554304905442,2.054777454138027,0.0026221447035886364,120.37364503895817,96.44126563067103
