timestamp,cpu_percent,mem_used_mb
1762110102.9481578,24.90,1465.35
1762110103.9512987,28.20,1464.93
1762110104.9529247,25.70,1464.98
1762110105.9543617,22.00,1465.61
1762110106.9561286,13.90,1465.14
1762110107.9570017,16.10,1465.13
1762110108.9633987,15.70,1464.93
1762110109.964877,21.00,1458.70
1762110110.966332,22.70,1458.39
1762110111.9681077,23.80,1458.34
1762110112.9698646,12.70,1458.61
1762110113.9707649,9.10,1458.89
1762110114.9731817,9.70,1458.56
1762110115.974835,11.90,1458.77
1762110116.9763582,11.90,1458.69
1762110117.9781122,9.90,1458.46
1762110118.979698,9.40,1458.63
1762110119.9819465,8.90,1458.39
1762110120.9835868,11.30,1458.43
1762110121.9851513,14.40,1458.47
1762110122.9871504,9.60,1458.43
1762110123.9887972,8.60,1458.10
1762110124.9912045,7.80,1458.70
1762110125.9929574,12.00,1458.46
1762110126.9945073,9.00,1458.45
1762110127.9963646,9.80,1458.51
1762110128.9979439,10.60,1458.62
1762110130.000311,11.50,1458.60
1762110131.0018892,9.70,1458.56
1762110132.0033526,13.70,1458.58
