timestamp,cpu_percent,mem_used_mb,mem_percent
1762420874.8646855,7.10,2391.72,61.80
1762420875.8665879,4.80,2392.84,61.90
1762420876.868145,3.60,2394.19,61.90
1762420877.8693187,2.90,2393.75,61.90
1762420878.8710694,17.30,2396.68,62.00
1762420879.872301,5.00,2396.22,61.90
1762420880.874822,9.40,2397.04,62.00
1762420881.913797,15.30,2399.01,62.00
1762420882.9254854,7.10,2397.23,62.00
1762420883.9274175,6.10,2397.23,62.00
1762420884.9281552,1.70,2396.65,62.00
1762420885.9286735,3.40,2396.29,61.90
1762420886.930186,2.40,2395.48,61.90
1762420887.9311888,1.10,2395.57,61.90
1762420888.9320056,6.90,2395.30,61.90
1762420889.9340901,5.20,2395.27,61.90
1762420890.9351425,1.10,2395.71,61.90
1762420891.936835,4.60,2394.80,61.90
1762420892.939163,3.00,2395.52,61.90
1762420893.9406362,4.00,2395.86,61.90
1762420894.9420938,0.60,2396.55,62.00
1762420895.943536,1.70,2395.89,61.90
1762420896.9454482,0.60,2396.04,61.90
1762420897.9466531,0.60,2396.52,62.00
1762420898.9473593,1.70,2396.00,61.90
1762420899.949219,1.10,2396.47,61.90
1762420900.951729,2.90,2395.65,61.90
1762420902.02357,4.20,2399.95,62.00
1762420903.0254252,5.60,2398.68,62.00
1762420904.0272949,2.80,2398.30,62.00
