PING 192.168.10.128 (192.168.10.128) 56(84) bytes of data.
64 bytes from 192.168.10.128: icmp_seq=82 ttl=64 time=0.766 ms
64 bytes from 192.168.10.128: icmp_seq=83 ttl=64 time=0.745 ms
64 bytes from 192.168.10.128: icmp_seq=84 ttl=64 time=0.941 ms
64 bytes from 192.168.10.128: icmp_seq=85 ttl=64 time=0.934 ms
64 bytes from 192.168.10.128: icmp_seq=86 ttl=64 time=0.613 ms
64 bytes from 192.168.10.128: icmp_seq=87 ttl=64 time=0.710 ms
64 bytes from 192.168.10.128: icmp_seq=88 ttl=64 time=0.615 ms
64 bytes from 192.168.10.128: icmp_seq=89 ttl=64 time=0.770 ms
64 bytes from 192.168.10.128: icmp_seq=90 ttl=64 time=0.756 ms
64 bytes from 192.168.10.128: icmp_seq=91 ttl=64 time=0.680 ms
64 bytes from 192.168.10.128: icmp_seq=92 ttl=64 time=0.876 ms
64 bytes from 192.168.10.128: icmp_seq=93 ttl=64 time=0.575 ms
64 bytes from 192.168.10.128: icmp_seq=94 ttl=64 time=0.506 ms
64 bytes from 192.168.10.128: icmp_seq=95 ttl=64 time=1.69 ms
64 bytes from 192.168.10.128: icmp_seq=96 ttl=64 time=0.887 ms
64 bytes from 192.168.10.128: icmp_seq=97 ttl=64 time=13.2 ms
64 bytes from 192.168.10.128: icmp_seq=98 ttl=64 time=1.14 ms
64 bytes from 192.168.10.128: icmp_seq=99 ttl=64 time=0.963 ms
64 bytes from 192.168.10.128: icmp_seq=100 ttl=64 time=0.661 ms

--- 192.168.10.128 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 100705ms
rtt min/avg/max/mdev = 0.427/1.854/70.208/7.204 ms
