PING 10.244.1.25 (10.244.1.25) 56(84) bytes of data.
64 bytes from 10.244.1.25: icmp_seq=1 ttl=62 time=205 ms
64 bytes from 10.244.1.25: icmp_seq=2 ttl=62 time=329 ms
64 bytes from 10.244.1.25: icmp_seq=3 ttl=62 time=123 ms
64 bytes from 10.244.1.25: icmp_seq=4 ttl=62 time=88.1 ms
64 bytes from 10.244.1.25: icmp_seq=5 ttl=62 time=342 ms
64 bytes from 10.244.1.25: icmp_seq=6 ttl=62 time=269 ms
64 bytes from 10.244.1.25: icmp_seq=7 ttl=62 time=705 ms
64 bytes from 10.244.1.25: icmp_seq=8 ttl=62 time=766 ms
64 bytes from 10.244.1.25: icmp_seq=9 ttl=62 time=529 ms
64 bytes from 10.244.1.25: icmp_seq=10 ttl=62 time=581 ms
64 bytes from 10.244.1.25: icmp_seq=11 ttl=62 time=490 ms
64 bytes from 10.244.1.25: icmp_seq=12 ttl=62 time=44.6 ms
64 bytes from 10.244.1.25: icmp_seq=13 ttl=62 time=47.7 ms
64 bytes from 10.244.1.25: icmp_seq=14 ttl=62 time=72.2 ms
64 bytes from 10.244.1.25: icmp_seq=15 ttl=62 time=140 ms
64 bytes from 10.244.1.25: icmp_seq=16 ttl=62 time=45.5 ms
64 bytes from 10.244.1.25: icmp_seq=17 ttl=62 time=49.9 ms
64 bytes from 10.244.1.25: icmp_seq=18 ttl=62 time=92.4 ms
64 bytes from 10.244.1.25: icmp_seq=19 ttl=62 time=128 ms
64 bytes from 10.244.1.25: icmp_seq=20 ttl=62 time=177 ms
64 bytes from 10.244.1.25: icmp_seq=21 ttl=62 time=198 ms
64 bytes from 10.244.1.25: icmp_seq=22 ttl=62 time=193 ms
64 bytes from 10.244.1.25: icmp_seq=23 ttl=62 time=39.6 ms
64 bytes from 10.244.1.25: icmp_seq=24 ttl=62 time=545 ms
64 bytes from 10.244.1.25: icmp_seq=25 ttl=62 time=108 ms
64 bytes from 10.244.1.25: icmp_seq=26 ttl=62 time=579 ms
64 bytes from 10.244.1.25: icmp_seq=27 ttl=62 time=1024 ms
64 bytes from 10.244.1.25: icmp_seq=28 ttl=62 time=448 ms
64 bytes from 10.244.1.25: icmp_seq=29 ttl=62 time=2301 ms
64 bytes from 10.244.1.25: icmp_seq=30 ttl=62 time=1237 ms
64 bytes from 10.244.1.25: icmp_seq=31 ttl=62 time=1508 ms
64 bytes from 10.244.1.25: icmp_seq=32 ttl=62 time=2253 ms
