timestamp,cpu_percent,mem_used_mb
1762007639.4810815,28.00,1204.53
1762007640.4825783,28.10,1194.20
1762007641.4834435,17.50,1194.48
1762007642.4847934,13.00,1194.35
1762007643.4855752,17.60,1194.52
1762007644.487359,19.20,1194.36
1762007645.4886026,21.30,1194.91
1762007646.4903133,21.50,1194.48
1762007647.4914732,13.10,1194.45
1762007648.4923646,18.60,1194.92
1762007649.493373,12.90,1194.62
1762007650.4944,14.40,1194.37
1762007651.4954622,16.50,1194.06
1762007652.4971197,14.50,1194.30
1762007653.4984925,19.10,1194.51
1762007654.4994178,17.30,1194.51
1762007655.5009012,18.20,1194.56
1762007656.5025141,21.30,1197.57
1762007657.5035732,17.60,1194.65
1762007658.5044346,16.70,1194.57
1762007659.5060117,17.00,1194.52
1762007660.5078008,17.70,1194.64
1762007661.509383,14.50,1194.47
1762007662.5111434,18.30,1194.66
1762007663.5125628,19.00,1194.55
1762007664.513437,21.40,1194.46
1762007665.5145278,18.80,1194.66
1762007666.5154796,20.50,1194.55
1762007667.5171194,18.50,1194.46
1762007668.5183966,18.30,1194.54
