PING 10.244.1.25 (10.244.1.25) 56(84) bytes of data.
64 bytes from 10.244.1.25: icmp_seq=1 ttl=62 time=16.3 ms
64 bytes from 10.244.1.25: icmp_seq=2 ttl=62 time=30.0 ms
64 bytes from 10.244.1.25: icmp_seq=3 ttl=62 time=9.51 ms
64 bytes from 10.244.1.25: icmp_seq=4 ttl=62 time=11.0 ms
64 bytes from 10.244.1.25: icmp_seq=5 ttl=62 time=160 ms
64 bytes from 10.244.1.25: icmp_seq=6 ttl=62 time=8.09 ms
64 bytes from 10.244.1.25: icmp_seq=7 ttl=62 time=21.1 ms
64 bytes from 10.244.1.25: icmp_seq=8 ttl=62 time=27.8 ms
64 bytes from 10.244.1.25: icmp_seq=9 ttl=62 time=7.54 ms
64 bytes from 10.244.1.25: icmp_seq=10 ttl=62 time=5.81 ms
64 bytes from 10.244.1.25: icmp_seq=11 ttl=62 time=15.5 ms
64 bytes from 10.244.1.25: icmp_seq=12 ttl=62 time=12.7 ms
64 bytes from 10.244.1.25: icmp_seq=13 ttl=62 time=9.90 ms
64 bytes from 10.244.1.25: icmp_seq=14 ttl=62 time=21.9 ms
64 bytes from 10.244.1.25: icmp_seq=15 ttl=62 time=15.7 ms
64 bytes from 10.244.1.25: icmp_seq=16 ttl=62 time=272 ms
64 bytes from 10.244.1.25: icmp_seq=17 ttl=62 time=136 ms
64 bytes from 10.244.1.25: icmp_seq=18 ttl=62 time=145 ms
64 bytes from 10.244.1.25: icmp_seq=19 ttl=62 time=37.5 ms
64 bytes from 10.244.1.25: icmp_seq=20 ttl=62 time=37.1 ms
64 bytes from 10.244.1.25: icmp_seq=21 ttl=62 time=255 ms
64 bytes from 10.244.1.25: icmp_seq=22 ttl=62 time=152 ms
64 bytes from 10.244.1.25: icmp_seq=23 ttl=62 time=38.0 ms
64 bytes from 10.244.1.25: icmp_seq=24 ttl=62 time=41.8 ms
64 bytes from 10.244.1.25: icmp_seq=25 ttl=62 time=12.1 ms
64 bytes from 10.244.1.25: icmp_seq=26 ttl=62 time=15.9 ms
64 bytes from 10.244.1.25: icmp_seq=27 ttl=62 time=44.9 ms
64 bytes from 10.244.1.25: icmp_seq=28 ttl=62 time=16.1 ms
64 bytes from 10.244.1.25: icmp_seq=29 ttl=62 time=108 ms
64 bytes from 10.244.1.25: icmp_seq=30 ttl=62 time=246 ms
64 bytes from 10.244.1.25: icmp_seq=31 ttl=62 time=12.2 ms
64 bytes from 10.244.1.25: icmp_seq=32 ttl=62 time=15.1 ms
64 bytes from 10.244.1.25: icmp_seq=33 ttl=62 time=21.6 ms
64 bytes from 10.244.1.25: icmp_seq=34 ttl=62 time=16.8 ms
64 bytes from 10.244.1.25: icmp_seq=35 ttl=62 time=7.40 ms
64 bytes from 10.244.1.25: icmp_seq=36 ttl=62 time=145 ms
64 bytes from 10.244.1.25: icmp_seq=37 ttl=62 time=43.8 ms
64 bytes from 10.244.1.25: icmp_seq=38 ttl=62 time=16.3 ms
64 bytes from 10.244.1.25: icmp_seq=39 ttl=62 time=33.1 ms
64 bytes from 10.244.1.25: icmp_seq=40 ttl=62 time=163 ms
64 bytes from 10.244.1.25: icmp_seq=41 ttl=62 time=12.3 ms
64 bytes from 10.244.1.25: icmp_seq=42 ttl=62 time=158 ms
64 bytes from 10.244.1.25: icmp_seq=43 ttl=62 time=69.7 ms
64 bytes from 10.244.1.25: icmp_seq=44 ttl=62 time=95.6 ms
64 bytes from 10.244.1.25: icmp_seq=45 ttl=62 time=116 ms
64 bytes from 10.244.1.25: icmp_seq=46 ttl=62 time=159 ms
64 bytes from 10.244.1.25: icmp_seq=47 ttl=62 time=22.2 ms
64 bytes from 10.244.1.25: icmp_seq=48 ttl=62 time=11.6 ms
64 bytes from 10.244.1.25: icmp_seq=49 ttl=62 time=11.7 ms
64 bytes from 10.244.1.25: icmp_seq=50 ttl=62 time=10.3 ms
64 bytes from 10.244.1.25: icmp_seq=51 ttl=62 time=14.3 ms
64 bytes from 10.244.1.25: icmp_seq=52 ttl=62 time=12.3 ms
64 bytes from 10.244.1.25: icmp_seq=53 ttl=62 time=49.9 ms
64 bytes from 10.244.1.25: icmp_seq=54 ttl=62 time=33.9 ms
64 bytes from 10.244.1.25: icmp_seq=55 ttl=62 time=382 ms
64 bytes from 10.244.1.25: icmp_seq=56 ttl=62 time=1064 ms
64 bytes from 10.244.1.25: icmp_seq=57 ttl=62 time=802 ms
64 bytes from 10.244.1.25: icmp_seq=58 ttl=62 time=702 ms
64 bytes from 10.244.1.25: icmp_seq=59 ttl=62 time=843 ms
64 bytes from 10.244.1.25: icmp_seq=60 ttl=62 time=706 ms
64 bytes from 10.244.1.25: icmp_seq=61 ttl=62 time=604 ms
64 bytes from 10.244.1.25: icmp_seq=62 ttl=62 time=537 ms
64 bytes from 10.244.1.25: icmp_seq=63 ttl=62 time=1164 ms
64 bytes from 10.244.1.25: icmp_seq=64 ttl=62 time=127 ms
64 bytes from 10.244.1.25: icmp_seq=65 ttl=62 time=435 ms
64 bytes from 10.244.1.25: icmp_seq=66 ttl=62 time=607 ms
64 bytes from 10.244.1.25: icmp_seq=67 ttl=62 time=2021 ms
64 bytes from 10.244.1.25: icmp_seq=68 ttl=62 time=3805 ms
64 bytes from 10.244.1.25: icmp_seq=70 ttl=62 time=1794 ms
64 bytes from 10.244.1.25: icmp_seq=71 ttl=62 time=770 ms
64 bytes from 10.244.1.25: icmp_seq=72 ttl=62 time=3036 ms
64 bytes from 10.244.1.25: icmp_seq=73 ttl=62 time=2705 ms
64 bytes from 10.244.1.25: icmp_seq=74 ttl=62 time=1705 ms
64 bytes from 10.244.1.25: icmp_seq=75 ttl=62 time=706 ms
64 bytes from 10.244.1.25: icmp_seq=76 ttl=62 time=1432 ms
64 bytes from 10.244.1.25: icmp_seq=77 ttl=62 time=1314 ms
64 bytes from 10.244.1.25: icmp_seq=78 ttl=62 time=887 ms
64 bytes from 10.244.1.25: icmp_seq=79 ttl=62 time=1747 ms
64 bytes from 10.244.1.25: icmp_seq=80 ttl=62 time=738 ms
64 bytes from 10.244.1.25: icmp_seq=81 ttl=62 time=1072 ms
64 bytes from 10.244.1.25: icmp_seq=82 ttl=62 time=493 ms
64 bytes from 10.244.1.25: icmp_seq=83 ttl=62 time=1128 ms
64 bytes from 10.244.1.25: icmp_seq=84 ttl=62 time=857 ms
64 bytes from 10.244.1.25: icmp_seq=85 ttl=62 time=303 ms
64 bytes from 10.244.1.25: icmp_seq=86 ttl=62 time=155 ms
64 bytes from 10.244.1.25: icmp_seq=87 ttl=62 time=92.9 ms
64 bytes from 10.244.1.25: icmp_seq=88 ttl=62 time=11.1 ms
64 bytes from 10.244.1.25: icmp_seq=89 ttl=62 time=128 ms
64 bytes from 10.244.1.25: icmp_seq=91 ttl=62 time=4.87 ms
64 bytes from 10.244.1.25: icmp_seq=92 ttl=62 time=177 ms
64 bytes from 10.244.1.25: icmp_seq=93 ttl=62 time=13.5 ms
64 bytes from 10.244.1.25: icmp_seq=94 ttl=62 time=6.99 ms
64 bytes from 10.244.1.25: icmp_seq=95 ttl=62 time=7.96 ms
64 bytes from 10.244.1.25: icmp_seq=96 ttl=62 time=36.0 ms
64 bytes from 10.244.1.25: icmp_seq=97 ttl=62 time=34.7 ms
64 bytes from 10.244.1.25: icmp_seq=98 ttl=62 time=159 ms
64 bytes from 10.244.1.25: icmp_seq=99 ttl=62 time=373 ms
64 bytes from 10.244.1.25: icmp_seq=100 ttl=62 time=18.6 ms

--- 10.244.1.25 ping statistics ---
100 packets transmitted, 98 received, 2% packet loss, time 99500ms
rtt min/avg/max/mdev = 4.866/396.818/3804.542/680.859 ms, pipe 4
0ms
rtt min/avg/max/mdev = 4.667/621.034/3510.966/856.595 ms, pipe 4
