timestamp,cpu_percent,mem_used_mb
1762589380.4843287,1.50,2307.59
1762589381.4863908,3.50,2307.59
1762589382.4892879,3.10,2307.59
1762589383.492112,3.00,2307.59
1762589384.494567,4.60,2307.82
1762589385.4961214,2.80,2307.82
1762589386.4986298,4.50,2307.82
1762589387.50095,1.50,2306.71
1762589388.503235,6.20,2306.10
1762589389.5057807,6.60,2306.56
1762589390.508439,2.50,2306.56
1762589391.5117192,3.10,2306.56
1762589392.5151997,2.50,2306.56
1762589393.517475,3.60,2306.56
1762589394.5199933,4.10,2307.04
1762589395.5216153,5.70,2307.04
1762589396.5272565,19.30,2303.31
1762589397.5292215,1.50,2303.77
1762589398.5300045,5.10,2303.76
1762589399.5320876,4.10,2303.98
1762589400.5342045,3.50,2303.98
1762589401.5362477,3.00,2303.98
1762589402.5387847,2.50,2303.98
1762589403.5413818,2.50,2303.98
1762589404.543563,8.10,2303.97
1762589405.5463257,3.10,2304.70
1762589406.558084,4.00,2304.95
1762589407.5600698,3.00,2304.95
1762589408.5613909,3.60,2304.95
1762589409.5639727,10.70,2305.40
