PING 10.244.1.19 (10.244.1.19) 56(84) bytes of data.
64 bytes from 10.244.1.19: icmp_seq=1 ttl=62 time=4.22 ms
64 bytes from 10.244.1.19: icmp_seq=2 ttl=62 time=5.52 ms
64 bytes from 10.244.1.19: icmp_seq=3 ttl=62 time=3.17 ms
64 bytes from 10.244.1.19: icmp_seq=4 ttl=62 time=24.7 ms
64 bytes from 10.244.1.19: icmp_seq=5 ttl=62 time=3.84 ms
64 bytes from 10.244.1.19: icmp_seq=6 ttl=62 time=4.71 ms
64 bytes from 10.244.1.19: icmp_seq=7 ttl=62 time=4.28 ms
64 bytes from 10.244.1.19: icmp_seq=8 ttl=62 time=3.98 ms
64 bytes from 10.244.1.19: icmp_seq=9 ttl=62 time=3.47 ms
64 bytes from 10.244.1.19: icmp_seq=10 ttl=62 time=5.33 ms
64 bytes from 10.244.1.19: icmp_seq=11 ttl=62 time=3.85 ms
64 bytes from 10.244.1.19: icmp_seq=12 ttl=62 time=4.36 ms
64 bytes from 10.244.1.19: icmp_seq=13 ttl=62 time=3.68 ms
64 bytes from 10.244.1.19: icmp_seq=14 ttl=62 time=10.8 ms
64 bytes from 10.244.1.19: icmp_seq=15 ttl=62 time=9.29 ms
64 bytes from 10.244.1.19: icmp_seq=16 ttl=62 time=12.1 ms
64 bytes from 10.244.1.19: icmp_seq=17 ttl=62 time=11.1 ms
64 bytes from 10.244.1.19: icmp_seq=18 ttl=62 time=4.20 ms
64 bytes from 10.244.1.19: icmp_seq=19 ttl=62 time=6.75 ms
64 bytes from 10.244.1.19: icmp_seq=20 ttl=62 time=4.70 ms
64 bytes from 10.244.1.19: icmp_seq=21 ttl=62 time=13.7 ms
64 bytes from 10.244.1.19: icmp_seq=22 ttl=62 time=5.16 ms
64 bytes from 10.244.1.19: icmp_seq=23 ttl=62 time=3.64 ms
64 bytes from 10.244.1.19: icmp_seq=24 ttl=62 time=9.01 ms
64 bytes from 10.244.1.19: icmp_seq=25 ttl=62 time=4.48 ms
64 bytes from 10.244.1.19: icmp_seq=26 ttl=62 time=5.84 ms
64 bytes from 10.244.1.19: icmp_seq=27 ttl=62 time=6.54 ms
64 bytes from 10.244.1.19: icmp_seq=28 ttl=62 time=4.90 ms
64 bytes from 10.244.1.19: icmp_seq=29 ttl=62 time=8.35 ms
64 bytes from 10.244.1.19: icmp_seq=30 ttl=62 time=5.13 ms
64 bytes from 10.244.1.19: icmp_seq=31 ttl=62 time=4.11 ms
64 bytes from 10.244.1.19: icmp_seq=32 ttl=62 time=5.53 ms
64 bytes from 10.244.1.19: icmp_seq=33 ttl=62 time=11.4 ms
64 bytes from 10.244.1.19: icmp_seq=34 ttl=62 time=6.42 ms
