timestamp,cpu_percent,mem_used_mb
1761997837.0523086,23.50,1197.91
1761997838.0553265,12.60,1203.06
1761997839.0564733,11.00,1207.64
1761997840.0586677,12.00,1209.95
1761997841.0601845,13.90,1210.24
1761997842.0616503,13.40,1210.10
1761997843.0631135,10.40,1209.88
1761997844.0645351,9.80,1210.00
1761997845.065999,13.60,1208.08
1761997846.0674572,9.30,1208.43
1761997847.0684335,15.10,1208.45
1761997848.0699806,7.20,1208.18
1761997849.0715678,9.70,1208.24
1761997850.0735662,9.70,1208.21
1761997851.075247,8.90,1208.40
1761997852.0762985,11.50,1208.28
1761997853.0778847,10.40,1208.04
1761997854.0795438,11.40,1208.22
1761997855.081234,14.50,1208.38
1761997856.0825744,13.10,1208.17
1761997857.0843003,16.40,1208.79
1761997858.0855153,13.10,1209.36
1761997859.086977,43.90,1247.02
1761997860.0884452,14.60,1251.38
1761997861.0899322,14.20,1253.84
1761997862.0907109,11.40,1251.82
1761997863.0922077,10.40,1252.08
1761997864.0936582,14.10,1252.06
1761997865.0954096,11.00,1252.16
1761997866.0970116,10.30,1252.22
