timestamp,cpu_percent,mem_used_mb,mem_percent
1762424929.0737638,89.40,2507.23,64.80
1762424930.0754917,100.00,2505.75,64.80
1762424931.079104,100.00,2505.26,64.80
1762424932.0829942,98.70,2504.23,64.70
1762424933.086781,100.00,2508.20,64.80
1762424934.1047235,88.70,2510.07,64.90
1762424935.1066887,100.00,2503.64,64.70
1762424936.108557,100.00,2505.74,64.80
1762424937.1137376,100.00,2507.15,64.80
1762424938.1271362,98.40,2505.46,64.80
1762424939.1397994,97.80,2508.54,64.80
1762424940.1413262,99.50,2506.59,64.80
1762424941.1956787,100.00,2506.11,64.80
1762424942.2894382,98.60,2506.14,64.80
1762424943.2940388,93.40,2506.86,64.80
1762424944.3065941,99.40,2510.98,64.90
1762424945.3086102,100.00,2505.71,64.80
1762424946.3153477,98.90,2504.63,64.70
1762424947.319794,100.00,2504.03,64.70
1762424948.3288884,100.00,2507.39,64.80
1762424949.335784,100.00,2507.85,64.80
1762424950.3392568,100.00,2506.40,64.80
1762424951.3470354,100.00,2504.91,64.80
1762424952.350302,98.90,2507.14,64.80
1762424953.3548121,100.00,2506.54,64.80
1762424954.3613453,100.00,2503.64,64.70
1762424955.3662357,100.00,2506.97,64.80
1762424956.3682263,100.00,2504.94,64.80
1762424957.3752227,100.00,2512.42,64.90
1762424958.377133,81.70,2505.64,64.80
